Year,County/State,ACTUAL_COUNT,Latitude,Longitude
2019,"KNOX, Kentucky",1,36.9260578,-83.8897057
2019,"LACLEDE, Missouri",2,39.7855793,-93.1665932
2019,"LAFAYETTE, Louisiana",1,30.2240897,-92.0198427
2019,"LAKE, Illinois",2,42.3689363,-87.8271534
2019,"LAPEER, Michigan",2,43.0514161,-83.3188341
2019,"LEE, Florida",12,30.4196584,-83.3004216
2019,"LEE, Virginia",1,36.7075931,-83.0361376
2019,"LINCOLN, West Virginia",1,38.1761009,-82.0842901
2019,"LOGAN, West Virginia",3,37.8487147,-81.9934581
2019,"LUNENBURG, Virginia",1,36.9261435,-78.2476146
2019,"MACKINAC, Michigan",1,45.8683129,-84.6275658
2019,"MACOMB, Michigan",1,42.6651965,-82.9286428
2019,"MARION, Indiana",1,40.5583739,-85.6591442
2019,"MARION, West Virginia",1,39.5288627,-80.2321313
2019,"MARSHALL, West Virginia",1,38.4236242,-82.4247401
2019,"MASON, West Virginia",1,39.021745,-82.0290296
2019,"MATHEWS, Virginia",1,37.437006,-76.3206618
2019,"MAUI, Hawaii",1,20.7983626,-156.3319253
2019,"MERCER, West Virginia",2,37.4322638,-81.1196075
2019,"MONTGOMERY, Ohio",2,39.2281143,-84.3541062
2019,"MONTGOMERY, Texas",2,30.3882613,-95.6963355
2019,"MORGAN, West Virginia",1,39.5073361,-78.2476146
2019,"MULTNOMAH, Oregon",1,45.5145659,-122.5863211
2019,"MUSKEGON, Michigan",1,43.2341813,-86.2483921
2019,"NEW CASTLE, Delaware",5,39.6620397,-75.5668166
2019,"NEW HANOVER, North Carolina",1,34.2154913,-77.8824596
2019,"NICHOLAS, West Virginia",2,38.3307714,-80.7657804
2019,"OHIO, West Virginia",1,40.1111311,-80.610489
2019,"ONEIDA, Wisconsin",2,44.4799393,-88.2266434
2019,"ORANGE, Florida",6,29.1383165,-80.9956105
2019,"OUTAGAMIE, Wisconsin",1,44.4636545,-88.4016041
2019,"PALM BEACH, Florida",28,26.7056206,-80.0364297
2019,"PASCO, Florida",4,28.3232418,-82.4319405
2019,"PAULDING, Georgia",15,33.9142,84.8985
2019,"PEACH, Georgia",2,32.5892926,-83.8260884
2019,"PIERCE, Georgia",2,31.343806,-82.1713632
2019,"PIKE, Kentucky",1,37.4842087,-82.4752757
2019,"PINE, Minnesota",1,46.0983087,-92.8070708
2019,"POCAHONTAS, West Virginia",1,38.3101706,-80.0087746
2019,"PONTOTOC, Mississippi",1,34.2478831,-88.998673
2019,"PRINCE GEORGE'S, Maryland",9,38.7849211,-76.8720961
2019,"PRINCE WILLIAM, Virginia",7,38.7838939,-77.6077865
2019,"RALEIGH, West Virginia",7,37.7381597,-81.2518833
2019,"RANDOLPH, Illinois",2,38.0629321,-89.7755338
2019,"RANDOLPH, West Virginia",5,38.8092552,-80.0087746
2019,"RICHLAND, South Carolina",1,34.0412165,-80.9428911
2019,"RITCHIE, West Virginia",3,39.1822303,-81.0312989
2019,"ROANE, West Virginia",3,38.7564882,-81.4278984
2019,"ROSEAU, Minnesota",1,48.8460926,-95.762766
2019,"RUTHERFORD, Tennessee",2,35.7724263,-86.3376761
2019,"SAN PATRICIO, Texas",1,27.9544619,-97.7719419
2019,"SCOTLAND, North Carolina",1,34.8451203,-79.4703885
2019,"SEMINOLE, Florida",2,27.8397466,-82.7912134
2019,"SHELBY, Tennessee",1,35.1268552,-89.9253233
2019,"SPOKANE, Washington",1,47.6587802,-117.4260465
2019,"ST LOUIS, Minnesota",1,47.7395106,-92.3623921
2019,"ST LOUIS, Missouri",9,38.6270025,-90.1994042
2019,"ST TAMMANY, Louisiana",1,30.4357418,-89.9253233
2019,"STAFFORD, Virginia",1,38.4220687,-77.4083086
2019,"STEVENS, Minnesota",1,45.5215118,-95.9522178
2019,"SUMMERS, West Virginia",1,37.5812062,-80.8543847
2019,"SUSSEX, Delaware",14,38.6530841,-75.4344727
2019,"SWISHER, Texas",1,34.5532757,-101.7979613
2019,"TARRANT, Texas",13,32.7732044,-97.3516558
2019,"TWIGGS, Georgia",1,32.68356,-83.4643551
2019,"UNION, South Carolina",1,34.7154122,-81.623711
2019,"VIGO, Indiana",3,39.4165382,-87.4207518
2019,"VOLUSIA, Florida",1,29.0279842,-81.0754657
2019,"WARD, North Dakota",1,48.2147451,-101.5805256
2019,"WARREN, Virginia",1,38.9331749,-78.2476146
2019,"WASHINGTON, Oregon",2,45.5469616,-123.1386021
2019,"WAYNE, Michigan",1,42.2814269,-83.3863214
2019,"WAYNE, West Virginia",1,38.2214748,-82.4423747
2019,"WEBB, Texas",22,27.7925109,-99.4228149
2019,"WEBSTER, Louisiana",1,32.7641355,-93.3388917
2019,"WHITFIELD, Georgia",2,34.8033566,-84.981754
2019,"WINNEBAGO, Illinois",2,42.2661311,-89.2412202
2019,"WINNEBAGO, Wisconsin",1,44.0126679,-88.7108964
2019,"WOOD, West Virginia",4,39.2154345,-81.4718387
2019,"WYOMING, West Virginia",1,37.6339466,-81.5596427
2019,"ZAVALA, Texas",1,28.8801264,-99.7232673
2020,"ACCOMACK, Virginia",3,37.7063323,-75.8069082
2020,"ADAMS, Nebraska",1,40.4611108,-96.5094615
2020,"ALLEGHENY, Pennsylvania",2,40.4450813,-80.0087746
2020,"ALLEN, Ohio",1,40.769946,-84.1435136
2020,"ANNE ARUNDEL, Maryland",2,38.9530109,-76.5488232
2020,"ASHLAND, Ohio",1,40.8686675,-82.3182178
2020,"ATASCOSA, Texas",8,28.8661281,-98.5721016
2020,"BAKER, Florida",1,30.7971318,-86.681344
2020,"BALTIMORE, Maryland",1,39.2903848,-76.6121893
2020,"BEE, Texas",1,28.3624206,-97.6982272
2020,"BELL, Texas",1,31.134411,-97.5247243
2020,"BERKELEY, South Carolina",1,33.1260618,-80.0087746
2020,"BERKELEY, West Virginia",10,39.4885604,-78.0651931
2020,"BEXAR, Texas",1,29.4200763,-98.5721016
2020,"BIBB, Georgia",8,32.7865735,-83.7199136
2020,"BOONE, Kentucky",1,38.9940572,-84.7315563
2020,"BOONE, West Virginia",3,37.9838605,-81.734942
2020,"BOSSIER, Louisiana",1,32.5159852,-93.7321228
2020,"BOX ELDER, Utah",2,41.5380087,-113.1918021
2020,"BRANTLEY, Georgia",3,31.1510963,-81.9971108
2020,"BRAXTON, West Virginia",1,38.7023371,-80.7214417
2020,"BROOKE, West Virginia",1,40.2697757,-80.5660657
2020,"BURNETT, Wisconsin",1,43.504715,-88.707049
2020,"CAMDEN, Missouri",1,38.0322944,-92.6983868
2020,"CAMPBELL, Wyoming",1,44.3956107,-105.4489183
2020,"CAROLINE, Virginia",1,38.0445557,-77.2864879
2020,"CARROLL, Virginia",1,36.6778699,-80.7214417
2020,"CARSON CITY, Nevada",1,39.1637984,-119.7674034
2020,"CARVER, Minnesota",1,44.7633943,-93.6254404
2020,"CASTRO, Texas",1,34.4985047,-102.3463875
2020,"CATAWBA, North Carolina",2,35.7073558,-81.0756345
2020,"CHAMBERS, Texas",3,29.7524956,-94.6863782
2020,"CHARLEVOIX, Michigan",1,45.3180632,-85.2584004
2020,"CHEROKEE, Georgia",1,34.2514526,-84.4802606
2020,"CHESTERFIELD, Virginia",4,37.3673217,-77.6077865
2020,"CLARK, Washington",1,33.8742823,-84.2774915
2020,"CLAYTON, Georgia",8,34.8781479,-83.4009933
2020,"COBB, Georgia",16,33.8999297,-84.564147
2020,"COFFEE, Georgia",1,31.5182285,-82.820974
2020,"COLLIER, Florida",3,26.069985,-81.4278984
2020,"COOK, Illinois",1,41.7376587,-87.697554
2020,"COOKE, Texas",3,33.6672185,-97.3516558
2020,"COWETA, Georgia",10,33.3716708,-84.7315563
2020,"CRAWFORD, Georgia",1,33.8828954,-83.154596
2020,"CRAWFORD, Michigan",1,44.6524316,-84.6897495
2020,"CULPEPER, Virginia",1,38.4733409,-77.9961308
2020,"CUMBERLAND, North Carolina",4,34.9542604,-78.7476208
2020,"CUMBERLAND, Virginia",1,37.4963918,-78.2448664
2020,"DEKALB, Georgia",27,33.7956441,-84.2278796
2020,"DODGE, Georgia",1,34.0954235,-84.0104335
2020,"DOUGLAS, Colorado",1,39.2587106,-104.9388853
